Destination_Batch,Source_Batch,Gallons_Contributed,Destination_Current_Volume,Destination_Is_On_Hand,Destination_Has_Left
PCASEP250206,,0,0.0,False,False
CCAS122517R1,,0,0.0,False,True
CCASCK2547R3,,0,0.0,False,True
CCAS0024CVC1,,0,0.0,False,False
CSYRSE241602,,0,0.0,False,False
PROSLQNVSPK1,,0,0.0,False,False
CMER082402R3,,0,0.0,False,False
PCASCK250146,,0,0.0,False,False
CCHAUF25BZ6A,CCHAUF250017,0.0,0.0,False,True
QMERFS253037,,0,0.0,False,False
CCAS1225E482,,0,0.0,False,True
CRED0025CSPM,,0,0.0,False,True
UVIO152519C5,,0,0.0,False,False
CSABCY250002,,0,0.0,False,False
CMOU082543R2,,0,0.0,False,True
GWR25-054-0101,,0,0.0,False,False
CWHREG251901,MWR0250023,0.0,0.0,False,True
GWR25-054-0040,GWR25-054-0042,0.0,0.0,False,True
CCAS0025BVV8,,0,0.0,False,True
CMER1225E091,,0,0.0,False,False
CCASCV22BB08,,0,0.0,False,False
MWR0250035,,0,0.0,False,True
PCASCK25E144,,0,0.0,False,True
CGEWFM25OAK2,,0,0.0,False,False
QROS14NVA013,,0,0.0,False,False
CCHAHG250009,CCHAHG250010,0.0,0.0,False,True
CMAL082552R1,,0,0.0,False,True
CMER12240901,,0,0.0,False,False
CCASSE25E9A1,,0,0.0,False,False
PWHWFL25LEE1,,0,0.0,False,True
CCASBV25E042,,0,0.0,False,False
UMER1525LO04,,0,0.0,False,False
CCAS0825EA01,,0,0.0,False,True
CSYRSP2503R2,,0,0.0,False,False
CMOUSE253BR1,,0,0.0,False,False
CPIGUF250003,,0,0.0,False,False
CCHALW25B1SA,CCHALW250004,0.0,0.0,False,True
CSABHG250003,,0,0.0,False,False
CCAS082506R2,,0,0.0,False,True
MWR0250027,,0,0.0,False,True
CWHRPT250005,,0,0.0,False,False
UCAF15259502,,0,0.0,False,False
CWHREG25W303,MWR0250017,0.0,0.0,False,True
QCHAAF250005,,0,0.0,False,False
UMER1525LO05,,0,0.0,False,False
CSYRCD251501,,0,0.0,False,False
QMERFS253730,,0,0.0,False,False
QCASEP250108,,0,0.0,False,False
CSABAR25BG1A,CSABAR250003,0.0,0.0,False,True
CCHACK250001,,0,0.0,False,True
PMERAU230051,,0,0.0,False,False
GWR25-054-0016,GWR25-054-0017,0.0,0.0,False,False
CWHR10240001,,0,0.0,False,False
CCAS0825E32X,,0,0.0,False,False
UMER15259301,,0,0.0,False,False
UMER1525UP02,,0,0.0,False,False
CCHAAF250007,,0,0.0,False,False
CMER122502R1,,0,0.0,False,False
CCAS0825E332,,0,0.0,False,False
CCASWM2501R2,,0,0.0,False,True
CCAS0023P005,,0,0.0,False,False
CVIOCD250002,,0,0.0,False,True
CSABLT240001-DSP,,0,0.0,False,True
CSYRSE250701,,0,0.0,False,False
CCAS0825E043,,0,0.0,False,True
CWHW0025FL01,MSB0250001,0.0,0.0,False,True
CCAFFS251R12,,0,0.0,False,False
QMERMP252625,,0,0.0,False,False
CVIOCD24OKTP,,0,0.0,False,False
PSYREP250121,,0,0.0,False,False
CSYRCD241502,,0,0.0,False,False
PCHAUA24CVM2,,0,0.0,False,False
PSYRCK250245,,0,0.0,False,False
CWHREG251929,MWR0250021,0.0,0.0,False,True
CCASDC25CONV,,0,0.0,False,True
QMERAO250133,,0,0.0,False,False
CWHRFS250019,,0,0.0,False,False
PCASAU25E216,,0,0.0,False,False
QREDST230001,,0,0.0,False,False
CREDSE24ZNPR,,0,0.0,False,False
CWHREG240004,,0,0.0,False,False
CWHRPT250004,,0,0.0,False,False
CCHAUF25BZ8D,,0,0.0,False,False
PROSUANV2224,,0,0.0,False,False
PCASAU250316,,0,0.0,False,False
CMERRM25E011,,0,0.0,False,False
DCHABRNVBAS2,,0,0.0,False,False
CCASSE2514R2,,0,0.0,False,True
CCAS082504R4,,0,0.0,False,True
CROS20250001,,0,0.0,False,False
CGRESE2505R1,,0,0.0,False,True
CCHAUF250011,,0,0.0,False,False
CCHAAR25BF2B,CCHAAR250003,0.0,0.0,False,True
UMER1525MD06,,0,0.0,False,False
PSYREP253521,,0,0.0,False,False
QCAS1422A002,,0,0.0,False,True
PCASCV23CVG1,,0,0.0,False,False
CCAM082541R1,,0,0.0,False,True
CMER12240902,,0,0.0,False,True
CMER08250202,,0,0.0,False,False
CROS1225GRE1,,0,0.0,False,False
PCASCK250246,,0,0.0,False,False
PSYRGE22A001,,0,0.0,False,False
CCHAWV250007,,0,0.0,False,True
GWR25-054-0046,,0,0.0,False,False
PCASEP250307,,0,0.0,False,False
CSABLT240002-DSP1,,0,0.0,False,True
CWHRER24OK14,,0,0.0,False,False
QMERMP25D002,,0,0.0,False,False
CPEV0023UA01,,0,0.0,False,False
CCAFFS251R10,,0,0.0,False,False
CROSCR250001,,0,0.0,False,False
CSYR082438R2,,0,0.0,False,False
CMERDN241302,,0,0.0,False,True
CCHAUF25BZ8A,CCHAUF250003,0.0,0.0,False,True
PCASCK241009,,0,0.0,False,True
PMERGE21UA03,,0,0.0,False,False
UMER15259304,,0,0.0,False,False
CMER12250033,,0,0.0,False,False
CMERRM2401R2,,0,0.0,False,False
PSABEP250002,,0,0.0,False,False
JCASAE2501,,0,0.0,False,False
CCHA12250003,,0,0.0,False,False
CSABCK250001,,0,0.0,False,False
CCAS0825E063,,0,0.0,False,False
CCHAWV25B07A,CCHAWV250002,0.0,0.0,False,True
PCHAGE230001,,0,0.0,False,False
QSYRCK250145,,0,0.0,False,False
PCHAAF250009,,0,0.0,False,False
GCSR25-054-0001,,0,0.0,False,False
PCASCK24EX01,,0,0.0,False,False
CVIOCD250001,,0,0.0,False,False
CSYRDN2503R1,,0,0.0,False,True
CCASSE2514R1,,0,0.0,False,True
